Artist,Song,Label,Page
Mayorkun,Sade,Sade,1
Angèle,La thune,Brol,1
Barrie,Tal Uno,Tal Uno,1
Aldous Harding,Weight of the Planets,Designer,1
Jason McMahon,Sunshine for Locksmith,Odd West,1
Sunday Service Choir,Count Your Blessings,Jesus Is Born,2
Fernando Machado Soares,Ondas do Mar,Portugal : Le Fado de Coimbra (The Fado of Coimbra),2
Billie Holiday,Speak Low,The Complete Verve Studio Master Takes,2
Curtis Mayfield,Billy Jack.,(There's No Place Lime) America Today,2
Charlotte Day Wilson,Mountains,Mountains,2
Swindle,Grateful,No More Normal,3
DaVido,1 Milli,A Good Time,3
ROSALÍA,Juro Que,Juro Que,3
Chiwoniso,Zvichapera,Zvichapera,3
Blossoms,The Keeper,The Keeper,4
Clairo,Alewife,Immunity,4
Peggy Lee,Is That All There Is?,Is That All There Is?,4
Carl Ditters von Dittersdorf,String Quintet No. 3 <br>in C Major: I. Allegro molto,Dittersdorf: String Quartets Nos. 2 and 6 / String Quintets Nos. 3 and 6,4
Big Star,Try Again,#1 Record (Remastered),4
Africa Express,See The World,EGOLI,5
