Page,Artist,Label,Song
1,King Krule,XL,"Alone, Omen 3"
1,"Tyler, the Creator",Columbia,Group B
1,Lil Wayne,Young Money,Mahogany
1,Madlib & Freddie Gibbs,"RCA, Madlib, ESGN",Giannis (Instrumental)
1,Gill Scott-Heron & Makaya McCraven,XL,I’m New Here
1,Khruangbin & Leon Bridges,Dead Oceans,C-Side
2,Thundercat,Brainfeeder,Black Qualis (ft. Steve Arrington & Steve Lacy)
2,Tall Black Guy,First Word,I Will Never Know (14KT Iamebeenie Remix)
2,Curtis Mayfield,(There's No Place Lime) America Today,Billy Jack.
2,Charlotte Day Wilson,Mountains,Mountains
3,Swindle,No More Normal,Grateful
3,DaVido,A Good Time,1 Milli
3,ROSALÍA,Juro Que,Juro Que
3,Chiwoniso,Zvichapera,Zvichapera
4,Blossoms,The Keeper,The Keeper
4,Clairo,Immunity,Alewife
4,Peggy Lee,Is That All There Is?,Is That All There Is?
4,Carl Ditters von Dittersdorf,Dittersdorf: String Quartets Nos. 2 and 6 / String Quintets Nos. 3 and 6,String Quintet No. 3 <br>in C Major: I. Allegro molto
4,Big Star,#1 Record (Remastered),Try Again
5,Africa Express,EGOLI,See The World
